npb_name,english_name,origin_league,player_type,mlb_api_id,career_pa,career_ip,match_quality
アキーノ,Aristides Aquino,MLB,hitter,606157,762,,exact
アギラー,Jesús Aguilar,MLB,hitter,542583,2658,,exact
アストゥディーヨ,Willians Astudillo,MLB,hitter,553902,588,7.0,exact
アセベド,Stiven Acevedo,Independent,hitter,,,,skip
アダメス,Samuel Adames,AAA,pitcher,642715,4296,,likely
アビラ,Pedro Avila,MLB,pitcher,658648,3,146.1,exact
アブレイユ,Albert Abreu,MLB,pitcher,656061,0,135.2,exact
アマダー,Japhet Amador,Independent,hitter,,,,skip
アラウホ,Elvis Araújo,MLB,pitcher,542587,1,62.0,exact
アルカンタラ,Raúl Alcántara,KBO,hitter,,,,skip
アルシア,Oswaldo Arcia,MLB,hitter,542455,1075,,exact
アルバレス,Dariel Álvarez,Independent,hitter,,,,skip
アルバース,Andrew Albers,MLB,pitcher,452027,3,139.2,exact
アルモンテ,Zoilo Almonte,Independent,hitter,,,,skip
アンダーソン,Leslie Anderson,AAA,hitter,493306,,,exact
アンドリース,Matt Andriese,MLB,pitcher,542882,9,515.0,exact
アンバギー,Trey Amburgey,MLB,hitter,664011,4,,exact
アーリン,Robbie Erlin,MLB,pitcher,572362,81,341.2,exact
イノーア,Gabriel Ynoa,MLB,pitcher,593679,4,163.2,exact
イ・デウン,Lee Dae-eun,AAA,pitcher,,,,ambiguous
ウィック,Rowan Wick,MLB,pitcher,592858,0,146.0,exact
ウィルカーソン,Aaron Wilkerson,MLB,pitcher,658792,9,35.1,exact
ウィンゲンター,Trey Wingenter,MLB,pitcher,622259,0,95.1,exact
ウィーランド,Joe Wieland,MLB,pitcher,543921,13,52.2,exact
ウィーラー,Zelous Wheeler,MLB,hitter,519412,62,,exact
ウェンデルケン,J.B. Wendelken,MLB,pitcher,605525,0,159.2,exact
ウエスト,Matt West,MLB,pitcher,519411,0,7.0,exact
ウォルターズ,Nash Walters,MLB,pitcher,663534,,0.1,exact
ウォーカー,Adam Walker,Independent,hitter,,,,skip
ウルキデス,Jason Urquidez,Independent,pitcher,,,,skip
ウルフ,Brian Wolfe,MLB,pitcher,430582,0,82.2,exact
ウレーニャ,Estamy Gabriel Ureña,MiLB,hitter,,,,ambiguous
エスコバー,Edwin Escobar,MLB,pitcher,546276,2,25.2,exact
エスコバー,Alcides Escobar,MLB,hitter,444876,6182,1.2,exact
エスパーダ,José Manuel Espada,MLB,pitcher,664744,,4.0,likely
エスピナル,Raynel Espinal,MLB,pitcher,642659,,6.2,exact
エスピノーザ,Anderson Espinoza,MLB,pitcher,659262,,18.1,exact
エチェバリア,Adeiny Hechavarria,MLB,hitter,588751,3288,,exact
エップラー,Tyler Eppler,AAA,pitcher,621169,,,exact
エドワーズ,Jon Edwards,MLB,pitcher,457754,0,41.2,exact
エリアン,Elian Herrera,AAA,hitter,467070,639,,exact
エルドレッド,Brad Eldred,AAA,hitter,434660,299,,exact
エルナンデス,Anderson Hernandez,AAA,hitter,435038,703,,exact
エレラ,Yoslan Herrera,MLB,pitcher,506648,7,35.0,exact
エンス,Dietrich Enns,MLB,pitcher,608650,2,72.2,exact
オグレディ,Brian O'Grady,MLB,hitter,657434,114,,exact
オスカル,Oscar Nakaoji,Independent,pitcher,,,,skip
オスナ,Jose Osuna,MLB,hitter,591741,705,2.1,exact
オリバレス,Edward Olivares,MLB,hitter,658668,967,,exact
オルモス,Edgar Olmos,MLB,pitcher,543607,0,19.0,exact
オンドルセク,Logan Ondrusek,MLB,pitcher,446185,7,277.0,exact
オースティン,Tyler Austin,MLB,hitter,592122,583,,exact
オーレンドルフ,Ross Ohlendorf,MLB,pitcher,456027,152,586.2,exact
