npb_name,origin_country_ja,origin_country_en,likely_origin_league,npb_first_year,first_team,player_type,position,english_name,mlb_id,npb_first_year_PA,npb_first_year_AVG,npb_first_year_OPS,npb_first_year_wOBA,npb_first_year_ERA,npb_first_year_IP,npb_first_year_WHIP
アキーノ,,,Unknown,2023,中日,hitter,,,,68,0.154,0.438,0.1980,,,
アギラー,ベネズエラ,Venezuela,MLB,2024,西武,hitter,内野手,,,124,0.204,0.575,0.2741,,,
アストゥディーヨ,,,Unknown,2023,ソフトバンク,hitter,,,,50,0.136,0.447,0.2167,,,
アセベド,,,Unknown,2025,ロッテ,hitter,,,,12,0.182,0.705,,,,
アダメス,,,Unknown,2018,巨人,pitcher,,,,,,,,3.94,32.0,1.56
アビラ,,,Unknown,2025,ヤクルト,pitcher,,,,,,,,4.04,82.1,1.21
アブレイユ,ドミニカ共和国,Dominican Republic,MLB,2024,西武,pitcher,投手,,,,,,,2.39,49.0,1.18
アマダー,,,Unknown,2016,楽天,hitter,,,,138,0.258,0.805,0.3604,,,
アラウホ,,,Unknown,2017,,pitcher,,,,,,,,6.48,8.1,1.44
アルカンタラ,,,Unknown,2021,阪神,hitter,,,,,,,0.1006,,,
アルシア,,,Unknown,2018,日本ハム,hitter,,,,324,0.222,0.72,0.3265,,,
アルバレス,キューバ,Cuba,Cuba,2021,ソフトバンク,hitter,投手,,,40,0.162,0.495,0.2305,,,
アルバース,,,Unknown,2018,オリックス,pitcher,,,,,,,,3.08,114.0,1.11
アルモンテ,ドミニカ共和国,Dominican Republic,MLB,2018,中日,hitter,内野手,,,546,0.321,0.861,0.3827,,,
アンダーソン,,,Unknown,2015,広島,hitter,,,,260,0.252,0.729,0.3383,,,
アンドリース,,,Unknown,2022,巨人,pitcher,,,,,,,,4.82,18.2,1.71
アンバギー,,,Unknown,2023,DeNA,hitter,,,,8,0.125,0.25,0.1143,,,
アーリン,,,Unknown,2021,日本ハム,pitcher,,,,,,,,3.32,38.0,1.34
イノーア,,,Unknown,2020,ヤクルト,pitcher,,,,,,,,10.13,24.0,2.29
イ・デウン,,,Unknown,2015,,pitcher,,,,,,,,3.84,119.2,1.54
ウィック,カナダ,Canada,MLB,2024,DeNA,pitcher,投手,,,,,,,2.6,45.0,1.24
ウィルカーソン,,,Unknown,2022,阪神,pitcher,,,,,,,,4.08,70.2,1.29
ウィンゲンター,,,Unknown,2025,西武,pitcher,,,,,,,,1.74,46.2,0.99
ウィーランド,,,Unknown,2017,DeNA,pitcher,,,,,,,,2.98,133.0,1.14
ウィーラー,,,Unknown,2015,楽天,hitter,,,,313,0.255,0.791,0.3626,,,
ウェンデルケン,アメリカ,USA,MLB,2023,DeNA,pitcher,投手,,,,,,,1.66,59.2,1.04
ウエスト,,,Unknown,2017,,pitcher,,,,,,,,4.50,2.0,2.00
ウォルターズ,,,Unknown,2025,中日,pitcher,,,,,,,,0.0,5.0,1.6
ウォーカー,アメリカ,USA,MLB,2022,巨人,hitter,外野手,,,428,0.271,0.821,0.3647,,,
