npb_name,english_name,origin_league,origin_country,npb_first_year,first_team,player_type,position,mlb_id,npb_first_year_PA,npb_first_year_AVG,npb_first_year_OPS,npb_first_year_wOBA,npb_first_year_ERA,npb_first_year_IP,npb_first_year_WHIP
アキーノ,Aristides Aquino,MLB,Dominican Republic,2023,中日,hitter,,,68,0.154,0.438,0.1980,,,
アギラー,Jesús Aguilar,MLB,Venezuela,2024,西武,hitter,内野手,,124,0.204,0.575,0.2741,,,
アストゥディーヨ,Willians Astudillo,MLB,Venezuela,2023,ソフトバンク,hitter,,,50,0.136,0.447,0.2167,,,
アセベド,Stiven Acevedo,Independent,Dominican Republic,2025,ロッテ,hitter,,,12,0.182,0.705,,,,
アダメス,Samuel Adames,AAA,Dominican Republic,2018,巨人,pitcher,,,,,,,3.94,32.0,1.56
アビラ,Pedro Avila,MLB,Venezuela,2025,ヤクルト,pitcher,,,,,,,4.04,82.1,1.21
アブレイユ,Albert Abreu,MLB,Dominican Republic,2024,西武,pitcher,投手,,,,,,2.39,49.0,1.18
アマダー,Japhet Amador,Independent,Mexico,2016,楽天,hitter,,,138,0.258,0.805,0.3604,,,
アラウホ,Elvis Araújo,MLB,Venezuela,2017,,pitcher,,,,,,,6.48,8.1,1.44
アルカンタラ,Raúl Alcántara,KBO,Dominican Republic,2021,阪神,hitter,,,,,,0.1006,,,
アルシア,Oswaldo Arcia,MLB,Venezuela,2018,日本ハム,hitter,,,324,0.222,0.72,0.3265,,,
アルバレス,Dariel Álvarez,Independent,Cuba,2021,ソフトバンク,hitter,投手,,40,0.162,0.495,0.2305,,,
アルバース,Andrew Albers,MLB,Canada,2018,オリックス,pitcher,,,,,,,3.08,114.0,1.11
アルモンテ,Zoilo Almonte,Independent,Dominican Republic,2018,中日,hitter,内野手,,546,0.321,0.861,0.3827,,,
アンダーソン,Leslie Anderson,AAA,Cuba,2015,広島,hitter,,,260,0.252,0.729,0.3383,,,
アンドリース,Matt Andriese,MLB,USA,2022,巨人,pitcher,,,,,,,4.82,18.2,1.71
アンバギー,Trey Amburgey,MLB,USA,2023,DeNA,hitter,,,8,0.125,0.25,0.1143,,,
アーリン,Robbie Erlin,MLB,USA,2021,日本ハム,pitcher,,,,,,,3.32,38.0,1.34
イノーア,Gabriel Ynoa,MLB,Dominican Republic,2020,ヤクルト,pitcher,,,,,,,10.13,24.0,2.29
イ・デウン,Lee Dae-eun,AAA,South Korea,2015,,pitcher,,,,,,,3.84,119.2,1.54
ウィック,Rowan Wick,MLB,Canada,2024,DeNA,pitcher,投手,,,,,,2.6,45.0,1.24
ウィルカーソン,Aaron Wilkerson,MLB,USA,2022,阪神,pitcher,,,,,,,4.08,70.2,1.29
ウィンゲンター,Trey Wingenter,MLB,USA,2025,西武,pitcher,,,,,,,1.74,46.2,0.99
ウィーランド,Joe Wieland,MLB,USA,2017,DeNA,pitcher,,,,,,,2.98,133.0,1.14
ウィーラー,Zelous Wheeler,MLB,USA,2015,楽天,hitter,,,313,0.255,0.791,0.3626,,,
ウェンデルケン,J.B. Wendelken,MLB,USA,2023,DeNA,pitcher,投手,,,,,,1.66,59.2,1.04
ウエスト,Matt West,MLB,USA,2017,,pitcher,,,,,,,4.50,2.0,2.00
ウォルターズ,Nash Walters,MLB,USA,2025,中日,pitcher,,,,,,,0.0,5.0,1.6
ウォーカー,Adam Walker,Independent,USA,2022,巨人,hitter,外野手,,428,0.271,0.821,0.3647,,,
ウルキデス,Jason Urquidez,Independent,USA,2018,ヤクルト,pitcher,,,,,,,5.06,5.1,1.31
ウルフ,Brian Wolfe,MLB,USA,2015,西武,pitcher,,,,,,,11.00,9.0,2.44
ウレーニャ,Estamy Gabriel Ureña,MiLB,Dominican Republic,2020,巨人,hitter,内野手,,20,0.167,0.417,0.2076,,,
エスコバー,Edwin Escobar,MLB,Venezuela,2017,DeNA,pitcher,,,,,,,3.44,34.0,1.29
エスパーダ,José Manuel Espada,MLB,Puerto Rico,2024,ヤクルト,pitcher,投手,,,,,,5.0,27.0,1.52
エスピナル,Raynel Espinal,MLB,Dominican Republic,2023,ヤクルト,pitcher,,,,,,,5.4,5.0,1.2
エスピノーザ,Anderson Espinoza,MLB,Venezuela,2024,オリックス,pitcher,投手,,,,,,2.63,133.2,1.27
エチェバリア,Adeiny Hechavarria,MLB,Cuba,2021,ロッテ,hitter,,,216,0.203,0.536,0.2395,,,
エップラー,Tyler Eppler,AAA,USA,2019,オリックス,pitcher,,,,,,,4.02,31.1,1.60
エドワーズ,Jon Edwards,MLB,USA,2020,阪神,pitcher,,,,,,,2.38,22.2,0.88
エリアン,Elian Herrera,AAA,Dominican Republic,2016,,hitter,,,274,0.218,0.597,0.2741,,,
エルドレッド,Brad Eldred,AAA,USA,2015,広島,hitter,,,300,0.227,0.773,0.3505,,,
エルナンデス,Anderson Hernandez,AAA,Dominican Republic,2015,,hitter,,,548,0.271,0.716,0.3283,,,
エレラ,Yoslan Herrera,MLB,Cuba,2015,,pitcher,,,,,,,2.96,51.2,1.14
エンス,Dietrich Enns,MLB,USA,2022,西武,pitcher,,,,,,,2.94,122.1,1.21
オグレディ,Brian O'Grady,MLB,USA,2022,西武,hitter,,,465,0.213,0.695,0.3203,,,
オスカル,Oscar Nakaoji,Independent,Brazil,2016,広島,pitcher,,,,,,,6.35,22.2,1.72
オスナ,Jose Osuna,MLB,Mexico,2021,ヤクルト,hitter,投手,,495,0.258,0.694,0.3115,,,
オリバレス,Edward Olivares,MLB,Venezuela,2025,オリックス,hitter,,,35,0.182,0.441,0.2104,,,
オルモス,Edgar Olmos,MLB,USA,2018,ロッテ,pitcher,,,,,,,7.71,7.0,2.14
オンドルセク,Logan Ondrusek,MLB,USA,2015,,pitcher,,,,,,,2.05,70.1,1.05
オースティン,Tyler Austin,MLB,USA,2020,DeNA,hitter,外野手,,269,0.286,0.969,0.4268,,,
オーレンドルフ,Ross Ohlendorf,MLB,USA,2017,,pitcher,,,,,,,5.50,18.0,1.61
カイケル,Dallas Keuchel,MLB,USA,2024,ロッテ,pitcher,投手,,,,,,3.6,40.0,1.3
カスティーヨ,Fabio Castillo,MLB,Dominican Republic,2018,西武,pitcher,投手,,,,,,4.48,74.1,1.41
カステヤーノス,Alex Castellanos,MLB,USA,2015,,hitter,,,22,0.1,0.332,0.1680,,,
カニザレス,Bárbaro Cañizares,Independent,Cuba,2015,,hitter,,,36,0.333,0.843,0.3886,,,
カミネロ,Arquimedes Caminero,MLB,Dominican Republic,2017,巨人,pitcher,,,,,,,2.42,63.1,1.25
カラシティー,Matt Carasiti,MLB,USA,2018,ヤクルト,pitcher,,,,,,,4.18,94.2,1.39
カラバイヨ,Francisco Caraballo,Independent,Venezuela,2015,,hitter,,,247,0.252,0.771,0.3508,,,
カリステ,Orlando Calixte,Independent,Dominican Republic,2023,中日,hitter,内野手,,172,0.233,0.639,0.2903,,,
カルロス・ロサ,Carlos Rosa,MLB,Dominican Republic,2015,,pitcher,,,,,,,4.97,29.0,1.52
カンポス,Leonel Campos,MLB,Venezuela,2018,広島,pitcher,,,,,,,0.00,1.0,2.00
ガゼルマン,Robert Gsellman,MLB,USA,2022,DeNA,pitcher,,,,,,,2.66,20.1,1.03
ガラテ,Victor Garate,Independent,Venezuela,2015,,pitcher,,,,,,,1.71,26.1,1.41
ガルシア,Guillermo García García,Cuba,Dominican Republic,2016,中日,hitter,外野手,,7,0.0,0.0,,,,
ガルセス,Frank Garces,MLB,Dominican Republic,2017,,pitcher,,,,,,,6.39,31.0,1.52
ガルビス,Freddy Galvis,MLB,Venezuela,2022,ソフトバンク,hitter,,,130,0.171,0.528,0.2578,,,
ガンケル,Joe Gunkel,AAA,USA,2020,阪神,pitcher,,,,,,,3.18,56.2,1.18
ガーバー,Mike Gerber,MLB,USA,2021,中日,hitter,,,46,0.156,0.352,0.1620,,,
キブレハン,Patrick Kivlehan,MLB,USA,2022,ヤクルト,hitter,,,87,0.241,0.758,0.3347,,,
キャベッジ,Trey Cabbage,MLB,USA,2025,巨人,hitter,,,476,0.267,0.781,0.3561,,,
キャンデラリオ,Alexis Candelario,Independent,Dominican Republic,2017,,pitcher,,,,,,,21.00,3.0,3.67
キャンベル,Eric Campbell,MLB,USA,2017,,hitter,,,54,0.191,0.594,0.2805,,,
ギッテンス,Chris Gittens,MLB,USA,2022,楽天,hitter,,,74,0.242,0.639,0.3111,,,
ギャレット,Reed Garrett,MLB,USA,2016,西武,pitcher,,,,,,,,,
ギルメット,Preston Guilmet,MLB,USA,2017,,pitcher,,,,,,,3.62,54.2,1.17
クック,Ryan Cook,MLB,USA,2019,巨人,pitcher,,,,,,,4.80,15.0,1.67
クライン,Phil Klein,MLB,USA,2017,,pitcher,,,,,,,4.75,36.0,1.58
