year,league,team,pf_5yr,pred_RS,pred_RA,actual_W,actual_RS,actual_RA,median_wins,ci_lo,ci_hi,covered,error
2018,CL,DeNA,1.122,543.7,517.5,67.0,572.0,642.0,74.8,60.7,89.1,True,7.8
2018,CL,ヤクルト,1.277,487.5,541.1,75.0,658.0,665.0,64.8,50.5,79.5,True,-10.2
2018,CL,中日,0.808,555.6,624.1,63.0,598.0,654.0,63.8,51.3,76.4,True,0.8
2018,CL,巨人,0.992,563.6,550.7,67.0,625.0,575.0,73.0,59.3,86.2,True,6.0
2018,CL,広島,0.967,647.6,541.8,82.0,721.0,651.0,83.1,70.4,95.0,True,1.1
2018,CL,阪神,0.87,597.9,600.6,62.0,577.0,628.0,71.1,58.3,83.5,True,9.1
2018,PL,オリックス,0.97,549.6,583.3,65.0,538.0,565.0,67.5,54.2,80.9,True,2.5
2018,PL,ソフトバンク,1.009,602.5,532.5,82.0,685.0,579.0,79.8,66.5,92.7,True,-2.2
2018,PL,ロッテ,0.862,539.9,617.7,59.0,534.0,628.0,62.6,50.0,75.6,True,3.6
2018,PL,日本ハム,0.968,556.5,579.5,74.0,589.0,586.0,68.7,55.8,81.9,True,-5.3
2018,PL,楽天,1.079,525.0,524.9,58.0,520.0,583.0,71.3,57.2,85.9,True,13.3
2018,PL,西武,1.111,564.4,527.8,88.0,792.0,653.0,75.7,62.2,89.6,True,-12.3
2019,CL,DeNA,1.108,590.2,548.7,71.0,596.0,611.0,76.4,63.0,89.3,True,5.4
2019,CL,ヤクルト,1.221,540.7,558.8,59.0,656.0,739.0,69.3,55.9,82.4,True,10.3
2019,CL,中日,0.825,621.7,676.4,68.0,563.0,544.0,66.0,54.7,77.6,True,-2.0
2019,CL,巨人,1.045,600.2,556.6,77.0,663.0,573.0,76.4,63.2,89.1,True,-0.6
2019,CL,広島,0.966,626.3,571.0,70.0,591.0,601.0,77.5,64.8,89.8,True,7.5
2019,CL,阪神,0.875,611.9,620.3,69.0,538.0,566.0,70.7,58.7,82.7,True,1.7
2019,PL,オリックス,0.969,550.6,600.1,61.0,544.0,637.0,65.9,52.9,78.8,True,4.9
2019,PL,ソフトバンク,1.016,615.6,566.0,76.0,582.0,564.0,76.7,64.4,89.3,True,0.7
2019,PL,ロッテ,0.923,568.6,624.9,69.0,642.0,611.0,65.1,52.8,77.7,True,-3.9
2019,PL,日本ハム,0.983,556.2,584.4,65.0,560.0,586.0,68.0,55.1,81.5,True,3.0
2019,PL,楽天,1.011,569.4,571.1,71.0,614.0,578.0,71.2,57.9,84.4,True,0.2
2019,PL,西武,1.113,588.2,571.5,80.0,756.0,695.0,73.4,60.1,86.3,True,-6.6
2020,CL,DeNA,1.113,542.1,563.1,56.0,516.0,474.0,58.1,46.4,69.3,True,2.1
2020,CL,ヤクルト,1.222,534.4,569.5,41.0,468.0,589.0,56.5,45.2,67.7,False,15.5
2020,CL,中日,0.831,631.8,670.9,60.0,429.0,489.0,56.6,47.0,66.3,True,-3.4
