year,team,actual_PA,model_PA,PA_cov,actual_IP,model_IP,IP_cov,actual_RS,model_RS_raw,actual_RA,model_RA_raw,actual_W,n_hitters,n_pitchers
2018,DeNA,5344,4477,83.8,1269.0,1322.3,104.2,572.0,492.4,642.0,528.3,67,21,25
2018,オリックス,5373,5362,99.8,1274.7,1180.0,92.6,538.0,565.4,565.0,483.6,65,22,20
2018,ソフトバンク,5445,5589,102.6,1277.7,1255.7,98.3,685.0,620.3,579.0,472.7,82,21,21
2018,ヤクルト,5582,5307,95.1,1274.3,1257.0,98.6,658.0,568.4,665.0,541.8,75,23,21
2018,ロッテ,5412,5094,94.1,1276.7,1248.0,97.8,534.0,510.8,628.0,497.2,59,17,22
2018,中日,5431,5148,94.8,1241.0,1186.3,95.6,598.0,546.1,654.0,487.4,63,18,22
2018,巨人,5486,4983,90.8,1279.0,1199.7,93.8,625.0,525.4,575.0,464.4,67,22,21
2018,広島,5663,5354,94.5,1282.0,1262.3,98.5,721.0,602.4,651.0,465.1,82,23,22
2018,日本ハム,5450,5509,101.1,1275.7,1333.7,104.5,589.0,578.4,586.0,529.5,74,22,21
2018,楽天,5394,4750,88.1,1289.3,1248.7,96.8,520.0,495.3,583.0,463.7,58,21,22
2018,西武,5638,5425,96.2,1277.3,1174.0,91.9,792.0,622.9,653.0,464.4,88,15,21
2018,阪神,5553,5680,102.3,1276.0,1314.3,103.0,577.0,587.8,628.0,503.4,62,26,21
2019,DeNA,5375,4989,92.8,1274.0,1221.7,95.9,596.0,556.7,611.0,524.2,71,21,22
2019,オリックス,5391,5075,94.1,1283.7,1422.7,110.8,544.0,519.5,637.0,592.0,61,27,25
2019,ソフトバンク,5345,5201,97.3,1278.0,1334.7,104.4,582.0,569.7,564.0,535.4,76,21,26
2019,ヤクルト,5572,5049,90.6,1270.0,1148.0,90.4,656.0,551.3,739.0,504.3,59,25,22
2019,ロッテ,5503,4662,84.7,1280.7,1255.0,98.0,642.0,486.3,611.0,551.8,69,18,20
2019,中日,5350,5317,99.4,1269.0,1584.3,124.8,563.0,556.0,544.0,677.5,68,25,28
2019,巨人,5537,4988,90.1,1279.3,1217.0,95.1,663.0,547.7,573.0,478.6,77,22,23
2019,広島,5504,5892,107.0,1280.3,1264.0,98.7,591.0,683.0,601.0,495.6,70,28,19
2019,日本ハム,5428,6514,120.0,1265.7,1193.0,94.3,560.0,680.2,586.0,510.3,65,22,23
2019,楽天,5506,4364,79.3,1284.3,1268.3,98.8,614.0,466.3,578.0,519.9,71,18,23
2019,西武,5619,6066,108.0,1281.7,1244.3,97.1,756.0,697.8,695.0,530.9,80,14,22
2019,阪神,5465,4969,90.9,1289.7,909.3,70.5,538.0,538.1,566.0,369.6,69,20,16
