player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year
會澤 翼,93,290,252,23,62,7,3,6,93,30,0,1,2,3,26,3,7,49,9,0.246,0.369,0.33,広島,2015
赤松 真人,52,9,9,13,2,1,0,0,3,0,6,3,0,0,0,0,0,2,0,0.222,0.333,0.222,広島,2015
安部 友裕,26,74,70,6,17,0,0,0,17,2,1,2,3,0,1,0,0,6,1,0.243,0.243,0.254,広島,2015
天谷 宗一郎,30,34,28,1,6,0,0,0,6,2,3,4,0,0,6,0,0,7,1,0.214,0.214,0.353,広島,2015
新井 貴浩,125,480,426,52,117,22,2,7,164,57,3,0,0,4,48,1,2,73,15,0.275,0.385,0.348,広島,2015
石原 慶幸,83,238,216,15,52,6,0,2,64,12,1,0,8,0,14,2,0,42,10,0.241,0.296,0.287,広島,2015
今井 啓介,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015
今村 猛,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,広島,2015
岩本 貴裕,7,10,10,1,3,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0.3,0.4,0.3,広島,2015
エルドレッド,79,300,264,32,60,6,0,19,123,54,1,2,0,4,31,0,1,91,3,0.227,0.466,0.307,広島,2015
大瀬良 大地,51,23,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0.0,0.0,0.043,広島,2015
菊池 涼介,143,644,562,62,143,20,3,8,193,32,19,9,49,2,29,2,2,92,7,0.254,0.343,0.292,広島,2015
木村 昇吾,72,109,93,14,25,4,2,0,33,8,2,0,8,3,5,0,0,22,1,0.269,0.355,0.297,広島,2015
グスマン,34,116,100,10,23,8,1,3,42,12,0,0,0,0,15,0,1,25,2,0.23,0.42,0.336,広島,2015
九里 亜蓮,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,広島,2015
黒田 博樹,26,56,47,1,3,1,0,0,4,1,0,0,6,0,3,0,0,25,0,0.064,0.085,0.12,広島,2015
小窪 哲也,69,88,71,2,21,2,0,1,26,15,1,0,2,0,15,0,0,18,2,0.296,0.366,0.419,広島,2015
シアーホルツ,65,248,232,27,58,11,1,10,101,30,3,2,0,0,14,0,2,67,0,0.25,0.435,0.298,広島,2015
ジョンソン,28,64,60,5,9,1,0,0,10,1,0,0,2,0,2,0,0,29,0,0.15,0.167,0.177,広島,2015
下水流 昂,5,10,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0.2,0.2,0.2,広島,2015
鈴木 誠也,97,238,211,21,58,6,3,5,85,25,6,7,7,2,16,0,2,38,3,0.275,0.403,0.329,広島,2015
梵 英心,96,332,283,24,67,15,1,6,102,27,2,2,10,2,36,0,1,49,6,0.237,0.36,0.323,広島,2015
田中 広輔,141,590,543,61,149,33,9,8,224,45,6,7,5,1,34,2,7,105,8,0.274,0.413,0.325,広島,2015
堂林 翔太,33,73,69,5,18,2,0,0,20,3,1,0,1,0,3,0,0,16,1,0.261,0.29,0.292,広島,2015
戸田 隆矢,34,12,11,1,1,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0.091,0.091,0.091,広島,2015
中東 直己,9,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015
中村 恭平,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015
野間 峻祥,127,188,170,21,41,7,6,1,63,10,8,2,6,1,10,0,1,37,2,0.241,0.371,0.286,広島,2015
野村 祐輔,15,27,22,0,0,0,0,0,0,0,0,0,4,0,1,0,0,12,0,0.0,0.0,0.043,広島,2015
福井 優也,21,41,36,0,1,0,0,0,1,1,0,0,4,0,1,0,0,22,2,0.028,0.028,0.054,広島,2015
前田 健太,29,73,62,4,12,2,0,1,17,5,0,0,9,0,2,0,0,25,1,0.194,0.274,0.219,広島,2015
松山 竜平,100,229,202,14,56,13,0,7,90,26,1,1,0,3,23,0,1,30,8,0.277,0.446,0.349,広島,2015
丸 佳浩,143,633,530,81,132,28,1,19,219,63,15,7,4,4,94,2,1,143,4,0.249,0.413,0.361,広島,2015
美間 優槻,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015
