player,team,AVG,G,PA,AB,H,HR,RBI,SB,BB,HBP,SO,SH,GDP,OBP,SLG,OPS,RC27,XR27,year
秋山　翔吾,西武,0.359,143,675,602,216,14,55,17,60,4,78,7,6,0.419,0.522,0.941,8.04,7.57,2015
鳥谷　敬,阪神,0.281,143,646,551,155,6,42,9,89,1,77,2,8,0.38,0.367,0.747,5.42,5.34,2015
山田　哲人,ヤクルト,0.329,143,646,557,183,38,100,34,81,5,111,0,11,0.416,0.61,1.027,9.56,9.19,2015
菊池　涼介,広島,0.254,143,644,562,143,8,32,19,29,2,92,49,7,0.292,0.343,0.636,3.23,3.20,2015
丸　佳浩,広島,0.249,143,633,530,132,19,63,15,94,1,143,4,4,0.361,0.413,0.774,5.56,5.59,2015
川端　慎吾,ヤクルト,0.336,143,632,581,195,8,57,4,43,3,72,2,15,0.383,0.439,0.822,6.20,5.85,2015
浅村　栄斗,西武,0.27,141,627,537,145,13,81,12,69,12,136,2,13,0.362,0.385,0.747,4.91,5.00,2015
栗山　巧,西武,0.268,142,622,533,143,10,42,3,72,5,88,8,15,0.358,0.371,0.73,4.75,4.73,2015
大島　洋平,中日,0.26,142,620,565,147,6,27,22,39,5,65,10,5,0.313,0.342,0.655,3.89,3.83,2015
中島　卓也,日本ハム,0.264,143,617,515,136,0,39,34,66,2,93,34,10,0.35,0.287,0.637,3.86,3.81,2015
中田　翔,日本ハム,0.263,143,611,539,142,30,102,1,64,1,120,0,11,0.339,0.479,0.817,5.70,5.77,2015
柳田　悠岐,ソフトバンク,0.363,138,605,502,182,34,99,32,88,14,101,0,9,0.469,0.631,1.101,11.39,10.81,2015
松田　宣浩,ソフトバンク,0.287,143,603,533,153,35,94,8,60,2,135,0,17,0.357,0.533,0.889,6.14,6.23,2015
ゴメス,阪神,0.271,143,601,520,141,17,72,0,72,6,134,0,15,0.364,0.423,0.787,5.42,5.37,2015
中村　剛也,西武,0.278,139,599,521,145,37,124,1,68,7,172,0,12,0.367,0.559,0.926,7.13,7.03,2015
田中　賢介,日本ハム,0.284,134,596,532,151,4,66,9,57,1,58,5,9,0.354,0.352,0.705,4.71,4.58,2015
安達　了一,オリックス,0.239,139,593,506,121,11,55,16,48,6,68,29,11,0.31,0.348,0.658,3.28,3.39,2015
田中　広輔,広島,0.274,141,590,543,149,8,45,6,34,7,105,5,8,0.325,0.413,0.737,4.61,4.43,2015
中村　晃,ソフトバンク,0.3,135,590,506,152,1,39,7,66,6,47,9,7,0.386,0.35,0.735,5.37,5.22,2015
雄平,ヤクルト,0.27,141,585,551,149,8,60,7,27,3,82,1,7,0.307,0.388,0.695,4.21,4.10,2015
内川　聖一,ソフトバンク,0.284,136,585,529,150,11,82,1,45,4,55,0,24,0.34,0.395,0.735,4.42,4.41,2015
李　大浩,ソフトバンク,0.282,141,584,510,144,31,98,0,62,9,109,0,17,0.368,0.524,0.892,6.53,6.46,2015
畠山　和洋,ヤクルト,0.268,137,584,512,137,26,105,0,62,2,92,0,10,0.344,0.471,0.815,5.76,5.85,2015
マートン,阪神,0.276,140,583,544,150,9,59,0,31,3,77,0,21,0.316,0.375,0.691,3.79,3.76,2015
梶谷　隆幸,DeNA,0.275,134,578,520,143,13,66,28,54,0,132,2,4,0.342,0.425,0.767,5.28,5.16,2015
福留　孝介,阪神,0.281,140,569,495,139,20,76,1,65,1,75,1,15,0.361,0.463,0.824,5.76,5.78,2015
筒香　嘉智,DeNA,0.317,138,568,496,157,24,93,0,68,2,98,0,5,0.4,0.522,0.922,8.00,7.74,2015
ロペス,DeNA,0.291,140,565,516,150,25,73,1,44,2,82,0,14,0.347,0.496,0.843,5.96,5.83,2015
糸井　嘉男,オリックス,0.262,132,565,484,127,17,68,11,72,8,78,0,10,0.366,0.413,0.78,5.57,5.51,2015
鈴木　大地,ロッテ,0.263,142,564,487,128,6,50,1,47,3,58,24,10,0.33,0.366,0.695,3.97,3.92,2015
ルナ,中日,0.292,134,564,496,145,8,60,11,57,5,77,0,13,0.367,0.397,0.764,5.52,5.43,2015
平田　良介,中日,0.283,130,559,491,139,13,53,11,64,3,86,1,5,0.369,0.43,0.799,5.92,5.74,2015
坂本　勇人,巨人,0.269,130,558,479,129,12,68,10,65,0,79,9,5,0.353,0.401,0.754,5.27,5.27,2015
レアード,日本ハム,0.231,143,554,498,115,34,97,1,43,9,129,0,18,0.301,0.488,0.789,4.67,4.84,2015
エルナンデス,中日,0.271,138,548,498,135,11,58,5,35,0,106,10,13,0.317,0.4,0.716,4.18,4.13,2015
