player,team,ERA,G,W,L,SV,HLD,WPCT,BF,IP,HA,HRA,BB,HBP,SO,R,ER,WHIP,DIPS,year
安樂　智大,楽天,0.00,1,1,0,0,0,1.0,24,6.0,2,0,5,0,4,0,0,1.17,4.29,2015
中田　廉,広島,0.00,5,1,0,0,0,1.0,20,5.0,4,0,3,0,4,0,0,1.40,2.72,2015
豊田　拓矢,西武,0.00,3,0,0,0,0,0.0,15,3.2,1,0,4,0,2,0,0,1.36,4.48,2015
金平　将至,日本ハム,0.00,4,0,0,0,0,0.0,12,3.1,2,0,1,0,1,0,0,0.90,3.42,2015
大石　達也,西武,0.00,3,0,0,0,0,0.0,13,3.1,3,0,1,0,3,0,0,1.20,2.22,2015
相原　和友,楽天,0.00,2,0,0,0,0,0.0,14,3.0,3,0,1,0,1,1,0,1.33,3.45,2015
寺田　哲也,ヤクルト,0.00,1,0,0,0,0,0.0,16,3.0,2,0,4,1,3,0,0,2.00,6.12,2015
西原　圭大,広島,0.00,3,0,0,0,0,0.0,11,2.1,3,0,0,1,3,0,0,1.29,1.83,2015
島袋　洋奨,ソフトバンク,0.00,2,0,0,0,0,0.0,9,2.0,1,0,2,0,2,0,0,1.50,4.12,2015
森内　壽春,日本ハム,0.00,2,0,0,0,0,0.0,8,2.0,2,0,0,0,2,0,0,1.00,1.12,2015
渡辺　亮,阪神,0.00,1,0,0,0,0,0.0,7,1.1,1,0,2,0,1,0,0,2.25,6.12,2015
木佐貫　洋,日本ハム,0.00,1,0,0,0,0,0.0,3,1.0,0,0,0,0,2,0,0,0.00,-0.88,2015
永井　怜,楽天,0.00,1,0,0,0,1,0.0,1,0.1,0,0,0,0,1,0,0,0.00,-2.88,2015
風張　蓮,ヤクルト,0.00,1,0,0,0,0,0.0,2,0.1,0,0,0,1,0,0,0,0.00,12.12,2015
小山　伸一郎,楽天,-,1,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,0,-,-,2015
千賀　滉大,ソフトバンク,0.40,4,2,1,0,0,0.667,85,22.1,9,0,10,0,21,2,1,0.85,2.58,2015
三上　朋也,DeNA,0.81,21,1,1,0,9,0.5,93,22.1,16,0,9,1,20,3,2,1.12,2.67,2015
松井　裕樹,楽天,0.87,63,3,2,33,12,0.6,284,72.1,37,3,28,2,103,7,7,0.90,2.06,2015
吉見　一起,中日,0.94,8,3,0,0,0,1.0,186,48.0,34,0,12,1,39,5,5,0.96,2.31,2015
田原　誠次,巨人,1.00,18,1,0,0,4,1.0,75,18.0,11,1,9,2,18,2,2,1.11,3.68,2015
サファテ,ソフトバンク,1.11,65,5,1,41,9,0.833,235,64.2,27,4,14,1,102,8,8,0.63,1.47,2015
鶴　直人,阪神,1.17,5,0,0,0,0,0.0,31,7.2,8,0,2,0,5,1,1,1.30,2.60,2015
内　竜也,ロッテ,1.27,22,1,1,6,7,0.5,88,21.1,18,0,8,2,21,5,3,1.22,2.56,2015
バーネット,ヤクルト,1.29,59,3,1,41,6,0.75,246,62.2,37,1,19,3,56,10,9,0.89,2.59,2015
澤村　拓一,巨人,1.32,60,7,3,36,3,0.7,282,68.1,58,4,21,3,60,12,10,1.16,3.18,2015
田中　靖洋,西武,1.35,18,1,1,1,0,0.5,105,26.2,23,1,7,0,13,4,4,1.13,3.42,2015
五十嵐　亮太,ソフトバンク,1.38,54,3,1,2,31,0.75,203,52.0,31,1,15,4,59,8,8,0.88,2.14,2015
増井　浩俊,日本ハム,1.50,56,0,1,39,4,0.0,238,60.0,44,1,19,0,71,11,10,1.05,1.92,2015
萬谷　康平,DeNA,1.50,4,1,0,0,0,1.0,26,6.0,6,0,2,0,4,2,1,1.33,2.79,2015
岡田　俊哉,中日,1.57,50,0,1,0,12,0.0,225,57.1,38,1,15,2,55,10,10,0.92,2.32,2015
ガラテ,日本ハム,1.71,13,3,1,0,0,0.75,116,26.1,20,0,17,4,19,9,5,1.41,3.96,2015
二木　康太,ロッテ,1.80,1,0,0,0,0,0.0,20,5.0,4,0,2,0,3,1,1,1.20,3.12,2015
西野　勇士,ロッテ,1.83,54,1,2,34,4,0.333,219,54.0,44,1,12,1,71,13,11,1.04,1.40,2015
ジョンソン,広島,1.85,28,14,7,0,0,0.667,773,194.1,146,5,67,2,150,43,40,1.10,2.98,2015
菅野　智之,巨人,1.91,25,10,11,0,0,0.476,710,179.0,148,10,41,7,126,46,38,1.06,3.18,2015
マイコラス,巨人,1.92,21,13,3,0,0,0.813,557,145.0,107,8,23,1,107,34,31,0.90,2.86,2015
山崎　康晃,DeNA,1.92,58,2,4,37,7,0.333,215,56.1,38,2,11,1,66,13,12,0.87,1.88,2015
白村　明弘,日本ハム,2.03,50,1,1,0,13,0.5,233,57.2,42,6,19,3,66,16,13,1.06,3.33,2015
オンドルセク,ヤクルト,2.05,72,5,2,0,33,0.714,276,70.1,52,2,22,1,62,17,16,1.05,2.71,2015
長田　秀一郎,DeNA,2.06,45,4,1,0,10,0.8,167,39.1,36,1,19,0,18,13,9,1.40,3.83,2015
石井　裕也,日本ハム,2.06,51,0,1,0,7,0.0,151,35.0,31,0,14,1,26,15,8,1.29,2.92,2015
古川　秀一,オリックス,2.08,5,0,0,0,0,0.0,16,4.1,4,0,0,0,3,1,1,0.92,1.74,2015
前田　健太,広島,2.09,29,15,8,0,0,0.652,821,206.1,168,5,41,6,175,49,48,1.01,2.41,2015
若松　駿太,中日,2.12,23,10,4,0,0,0.714,575,140.0,111,10,50,2,113,35,33,1.15,3.53,2015
高木　京介,巨人,2.20,33,1,0,0,1,1.0,167,41.0,31,4,13,0,43,10,10,1.07,3.24,2015
田中　健二朗,DeNA,2.20,35,2,2,1,16,0.5,140,32.2,29,1,16,0,29,9,8,1.38,3.21,2015
大谷　翔平,日本ハム,2.24,22,15,5,0,0,0.75,621,160.2,100,7,46,3,196,40,40,0.91,2.16,2015
江草　仁貴,広島,2.25,7,0,0,0,0,0.0,35,8.0,7,0,4,1,7,2,2,1.38,3.25,2015
