No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team
0,ゲラ,投手,1995/09/25,29歳,1年,183cm,86kg,不明,右左,パナマ,"14,700万円",阪神
0,木浪　聖也,内野手,1994/06/15,30歳,6年,179cm,83kg,O型,右左,青森,"7,100万円",阪神
1,森下　翔太,外野手,2000/08/14,24歳,2年,182cm,89kg,O型,右右,神奈川,"3,800万円",阪神
2,梅野　隆太郎,捕手,1991/06/17,33歳,11年,173cm,79kg,A型,右右,福岡,"16,000万円",阪神
3,大山　悠輔,内野手,1994/12/19,30歳,8年,181cm,94kg,O型,右右,茨城,"28,000万円",阪神
4,熊谷　敬宥,内野手,1995/11/10,29歳,7年,175cm,68kg,A型,右右,宮城,"1,750万円",阪神
5,近本　光司,外野手,1994/11/09,30歳,6年,171cm,69kg,B型,左左,兵庫,"32,000万円",阪神
7,ノイジー,外野手,1994/12/10,30歳,2年,183cm,100kg,不明,右右,アメリカ,"16,170万円",阪神
8,佐藤　輝明,内野手,1999/03/13,25歳,4年,187cm,96kg,B型,右左,兵庫,"15,000万円",阪神
12,坂本　誠志郎,捕手,1993/11/10,31歳,9年,176cm,80kg,O型,右右,兵庫,"7,000万円",阪神
13,岩崎　優,投手,1991/06/19,33歳,11年,185cm,91kg,B型,左左,静岡,"20,000万円",阪神
14,岩貞　祐太,投手,1991/09/05,33歳,11年,183cm,87kg,A型,左左,熊本,"10,000万円",阪神
15,西　純矢,投手,2001/09/13,23歳,5年,184cm,94kg,O型,右右,広島,"3,800万円",阪神
16,西　勇輝,投手,1990/11/10,34歳,16年,181cm,82kg,B型,右右,三重,"30,000万円",阪神
17,青柳　晃洋,投手,1993/12/11,31歳,9年,183cm,83kg,B型,右右,神奈川,"21,000万円",阪神
19,下村　海翔,投手,2002/03/27,22歳,1年,174cm,73kg,A型,右右,兵庫,"1,600万円",阪神
20,森木　大智,投手,2003/04/17,21歳,3年,184cm,93kg,O型,右右,高知,"1,100万円",阪神
21,秋山　拓巳,投手,1991/04/26,33歳,15年,188cm,101kg,A型,右左,香川,"4,400万円",阪神
25,渡邉　諒,内野手,1995/04/30,29歳,11年,178cm,82kg,B型,右右,茨城,"3,750万円",阪神
26,椎葉　剛,投手,2002/03/18,22歳,1年,182cm,92kg,A型,右右,大阪,"1,000万円",阪神
27,伊藤　将司,投手,1996/05/08,28歳,4年,178cm,87kg,AB型,左左,千葉,"16,000万円",阪神
28,鈴木　勇斗,投手,2000/03/17,24歳,3年,174cm,86kg,A型,左左,鹿児島,"1,000万円",阪神
29,髙橋　遥人,投手,1995/11/07,29歳,7年,181cm,79kg,A型,左左,静岡,"1,850万円",阪神
30,門別　啓人,投手,2004/07/10,20歳,2年,183cm,86kg,A型,左左,北海道,800万円,阪神
32,井上　広大,外野手,2001/08/12,23歳,5年,189cm,100kg,B型,右右,大阪,840万円,阪神
33,糸原　健斗,内野手,1992/11/11,32歳,8年,175cm,78kg,O型,右左,島根,"7,000万円",阪神
34,漆原　大晟,投手,1996/09/10,28歳,6年,182cm,85kg,B型,右左,新潟,"1,450万円",阪神
35,才木　浩人,投手,1998/11/07,26歳,8年,189cm,88kg,A型,右右,兵庫,"5,000万円",阪神
