year,team,player
2018,DeNA,宮本　秀明
2018,DeNA,桑原　将志
2018,DeNA,ロペス
2018,DeNA,梶谷　隆幸
2018,DeNA,荒波　翔
2018,DeNA,倉本　寿彦
2018,DeNA,石川　雄洋
2018,DeNA,神里　和毅
2018,DeNA,大和
2018,DeNA,戸柱　恭孝
2018,DeNA,東　克樹
2018,DeNA,阪口　皓亮
2018,DeNA,石田　健大
2018,DeNA,井納　翔一
2018,DeNA,加賀　繁
2018,DeNA,三嶋　一輝
2018,DeNA,山﨑　康晃
2018,DeNA,須田　幸太
2018,DeNA,今永　昇太
2018,DeNA,熊原　健人
2018,DeNA,大河
2018,DeNA,齋藤　俊介
2018,DeNA,筒香　嘉智
2018,DeNA,濵口　遥大
2018,DeNA,福地　元春
2018,DeNA,伊藤　光
2018,DeNA,飯塚　悟史
2018,DeNA,柴田　竜拓
2018,DeNA,乙坂　智
2018,DeNA,平田　真吾
2018,DeNA,三上　朋也
2018,DeNA,狩野　行寿
2018,DeNA,楠本　泰史
2018,DeNA,山下　幸輝
2018,DeNA,嶺井　博希
2018,DeNA,飛雄馬
2018,DeNA,櫻井　周斗
2018,DeNA,バリオス
2018,DeNA,進藤　拓也
2018,DeNA,佐野　恵太
2018,DeNA,綾部　翔
2018,DeNA,田中　健二朗
2018,DeNA,砂田　毅樹
2018,DeNA,京山　将弥
2018,DeNA,赤間　謙
2018,DeNA,山本　祐大
2018,DeNA,宮﨑　敏郎
2018,DeNA,細川　成也
2018,DeNA,パットン
2018,DeNA,寺田　光輝
2018,DeNA,Ｇ　後藤　武敏
2018,DeNA,ウィーランド
2018,DeNA,青柳　昴樹
2018,DeNA,武藤　祐太
2018,DeNA,平良　拳太郎
2018,DeNA,白根　尚貴
2018,DeNA,中川　大志
2018,DeNA,エスコバー
2018,DeNA,関根　大気
2018,DeNA,百瀬　大騎
2018,DeNA,国吉　佑樹
2018,DeNA,西森　将司
2018,DeNA,田中　浩康
2018,DeNA,藤岡　好明
2018,DeNA,中後　悠平
2018,DeNA,田村　丈
2018,DeNA,笠井　崇正
2018,DeNA,野川　拓斗
2018,DeNA,ソト
2018,DeNA,網谷　圭将
2018,DeNA,武白志
2018,DeNA,亀井　塔生
2018,DeNA,中川　虎大
2018,DeNA,水野　滉也
2018,オリックス,西浦　颯大
2018,オリックス,山﨑　福也
2018,オリックス,中島　宏之
2018,オリックス,モヤ
2018,オリックス,白崎　浩之
2018,オリックス,安達　了一
2018,オリックス,福田　周平
2018,オリックス,西野　真弘
2018,オリックス,宗　佑磨
2018,オリックス,後藤　駿太
2018,オリックス,ロメロ
2018,オリックス,大城　滉二
2018,オリックス,松葉　貴大
2018,オリックス,マレーロ
2018,オリックス,山岡　泰輔
2018,オリックス,吉田　一将
2018,オリックス,佐藤　達也
2018,オリックス,増井　浩俊
2018,オリックス,岸田　護
2018,オリックス,金子　千尋
2018,オリックス,近藤　大亮
2018,オリックス,西　勇輝
2018,オリックス,髙城　俊人
2018,オリックス,伏見　寅威
2018,オリックス,宮﨑　祐樹
2018,オリックス,西村　凌
2018,オリックス,東明　大貴
2018,オリックス,アルバース
2018,オリックス,塚原　頌平
2018,オリックス,田嶋　大樹
2018,オリックス,Ｋ－鈴木
2018,オリックス,小谷野　栄一
2018,オリックス,ディクソン
2018,オリックス,縞田　拓弥
2018,オリックス,吉田　正尚
2018,オリックス,比嘉　幹貴
2018,オリックス,山足　達也
2018,オリックス,若月　健矢
2018,オリックス,小島　脩平
2018,オリックス,小林　慶祐
2018,オリックス,鈴木　昂平
2018,オリックス,ローチ
2018,オリックス,山本　由伸
2018,オリックス,園部　聡
2018,オリックス,飯田　大祐
2018,オリックス,本田　仁海
2018,オリックス,海田　智行
2018,オリックス,齋藤　綱記
2018,オリックス,澤田　圭佑
2018,オリックス,小田　裕也
2018,オリックス,岡﨑　大輔
2018,オリックス,吉田　雄人
2018,オリックス,黒木　優太
2018,オリックス,Ｔ－岡田
2018,オリックス,武田　健吾
2018,オリックス,山田　修義
2018,オリックス,金田　和之
2018,オリックス,根本　薫
2018,オリックス,山崎　勝己
2018,オリックス,山﨑　颯一郎
2018,オリックス,廣澤　伸哉
2018,オリックス,青山　大紀
2018,オリックス,吉田　凌
2018,オリックス,佐藤　世那
2018,オリックス,鈴木　優
2018,オリックス,大山　暁史
2018,オリックス,岩本　輝
2018,オリックス,佐野　皓大
2018,オリックス,杉本　裕太郎
2018,オリックス,張　奕
2018,オリックス,稲富　宏樹
2018,オリックス,榊原　翼
2018,オリックス,戸田　亮
2018,オリックス,神戸　文也
2018,オリックス,坂本　一将
2018,オリックス,東　晃平
2018,オリックス,比屋根　彰人
2018,オリックス,フェリペ
2018,ソフトバンク,川瀬　晃
2018,ソフトバンク,髙田　知季
2018,ソフトバンク,内川　聖一
2018,ソフトバンク,今宮　健太
2018,ソフトバンク,松田　宣浩
2018,ソフトバンク,川島　慶三
2018,ソフトバンク,吉村　裕基
2018,ソフトバンク,中村　晃
2018,ソフトバンク,明石　健志
2018,ソフトバンク,柳田　悠岐
2018,ソフトバンク,大竹　耕太郎
2018,ソフトバンク,中田　賢一
2018,ソフトバンク,髙谷　裕亮
2018,ソフトバンク,二保　旭
2018,ソフトバンク,加治屋　蓮
2018,ソフトバンク,東浜　巨
2018,ソフトバンク,岩嵜　翔
2018,ソフトバンク,武田　翔太
2018,ソフトバンク,ミランダ
2018,ソフトバンク,寺原　隼人
2018,ソフトバンク,和田　毅
2018,ソフトバンク,西田　哲朗
2018,ソフトバンク,城所　龍磨
2018,ソフトバンク,長谷川　勇也
2018,ソフトバンク,田中　正義
2018,ソフトバンク,吉住　晴斗
2018,ソフトバンク,グラシアル
2018,ソフトバンク,高橋　礼
2018,ソフトバンク,石川　柊太
2018,ソフトバンク,市川　友也
2018,ソフトバンク,栗原　陵矢
2018,ソフトバンク,塚田　正義
2018,ソフトバンク,増田　珠
2018,ソフトバンク,椎野　新
2018,ソフトバンク,モイネロ
2018,ソフトバンク,牧原　大成
2018,ソフトバンク,福田　秀平
2018,ソフトバンク,森　唯斗
2018,ソフトバンク,堀内　汰門
2018,ソフトバンク,小澤　怜史
2018,ソフトバンク,千賀　滉大
2018,ソフトバンク,松田　遼馬
2018,ソフトバンク,江川　智晃
2018,ソフトバンク,バンデンハーク
2018,ソフトバンク,谷川原　健太
2018,ソフトバンク,本多　雄一
2018,ソフトバンク,髙橋　純平
2018,ソフトバンク,岡本　健
2018,ソフトバンク,古谷　優人
2018,ソフトバンク,攝津　正
2018,ソフトバンク,上林　誠知
2018,ソフトバンク,五十嵐　亮太
2018,ソフトバンク,デスパイネ
2018,ソフトバンク,茶谷　健太
2018,ソフトバンク,田浦　文丸
2018,ソフトバンク,嘉弥真　新也
2018,ソフトバンク,サファテ
2018,ソフトバンク,古澤　勝吾
2018,ソフトバンク,釜元　豪
2018,ソフトバンク,黒瀬　健太
2018,ソフトバンク,甲斐　拓也
2018,ソフトバンク,笠原　大芽
2018,ソフトバンク,真砂　勇介
2018,ソフトバンク,九鬼　隆平
2018,ソフトバンク,松本　裕樹
2018,ソフトバンク,笠谷　俊介
2018,ソフトバンク,三森　大貴
2018,ソフトバンク,美間　優槻
2018,ソフトバンク,張本　優大
2018,ソフトバンク,スアレス
2018,ソフトバンク,尾形　崇斗
2018,ソフトバンク,周東　佑京
2018,ソフトバンク,川原　弘之
2018,ソフトバンク,伊藤　祐介
2018,ソフトバンク,幸山　一大
2018,ソフトバンク,大本　将吾
2018,ソフトバンク,齋藤　誠哉
2018,ソフトバンク,砂川　リチャード
2018,ソフトバンク,山下　亜文
2018,ソフトバンク,野澤　佑斗
2018,ソフトバンク,児玉　龍也
2018,ソフトバンク,樋越　優一
2018,ソフトバンク,長谷川　宙輝
2018,ソフトバンク,田城　飛翔
2018,ソフトバンク,中村　晨
2018,ソフトバンク,渡辺　健史
2018,ソフトバンク,森山　孔介
2018,ソフトバンク,日暮　矢麻人
2018,ソフトバンク,渡邉　雄大
2018,ソフトバンク,清水　陸哉
2018,ソフトバンク,松本　龍憲
2018,ソフトバンク,島袋　洋奨
2018,ソフトバンク,コラス
2018,ヤクルト,比屋根　渉
2018,ヤクルト,山田　哲人
2018,ヤクルト,大引　啓次
2018,ヤクルト,西浦　直亨
2018,ヤクルト,バレンティン
2018,ヤクルト,川端　慎吾
2018,ヤクルト,武内　晋一
2018,ヤクルト,塩見　泰隆
2018,ヤクルト,荒木　貴裕
2018,ヤクルト,由規
2018,ヤクルト,石山　泰稚
2018,ヤクルト,中尾　輝
2018,ヤクルト,秋吉　亮
2018,ヤクルト,大下　佑馬
2018,ヤクルト,原　樹理
2018,ヤクルト,成瀬　善久
2018,ヤクルト,寺島　成輝
2018,ヤクルト,石川　雅規
2018,ヤクルト,山本　哲哉
2018,ヤクルト,松岡　健一
2018,ヤクルト,蔵本　治孝
2018,ヤクルト,青木　宣親
2018,ヤクルト,星　知弥
2018,ヤクルト,館山　昌平
2018,ヤクルト,久古　健太郎
2018,ヤクルト,ブキャナン
2018,ヤクルト,小川　泰弘
2018,ヤクルト,西田　明央
2018,ヤクルト,山崎　晃大朗
2018,ヤクルト,松本　直樹
2018,ヤクルト,畠山　和洋
2018,ヤクルト,山田　大樹
2018,ヤクルト,菊沢　竜佑
2018,ヤクルト,廣岡　大志
2018,ヤクルト,カラシティー
2018,ヤクルト,梅野　雄吾
2018,ヤクルト,宮本　丈
2018,ヤクルト,古野　正人
2018,ヤクルト,アルメンゴ
2018,ヤクルト,雄平
2018,ヤクルト,坂口　智隆
2018,ヤクルト,村中　恭兵
2018,ヤクルト,岩橋　慶侍
2018,ヤクルト,ハフ
2018,ヤクルト,谷内　亮太
2018,ヤクルト,高橋　奎二
2018,ヤクルト,金久保　優斗
2018,ヤクルト,渡邉　大樹
2018,ヤクルト,上田　剛史
2018,ヤクルト,藤井　亮太
2018,ヤクルト,中村　悠平
2018,ヤクルト,沼田　拓巳
2018,ヤクルト,中澤　雅人
2018,ヤクルト,村上　宗隆
2018,ヤクルト,奥村　展征
2018,ヤクルト,古賀　優大
2018,ヤクルト,屋宜　照悟
2018,ヤクルト,大村　孟
2018,ヤクルト,三輪　正義
2018,ヤクルト,ウルキデス
2018,ヤクルト,田川　賢吾
2018,ヤクルト,井野　卓
2018,ヤクルト,風張　蓮
2018,ヤクルト,田代　将太郎
2018,ヤクルト,大松　尚逸
2018,ヤクルト,平井　諒
2018,ヤクルト,山中　浩史
2018,ヤクルト,山川　晃司
2018,ヤクルト,近藤　一樹
2018,ヤクルト,鵜久森　淳志
2018,ヤクルト,ジュリアス
2018,ロッテ,荻野　貴司
2018,ロッテ,清田　育宏
2018,ロッテ,根元　俊一
2018,ロッテ,角中　勝也
2018,ロッテ,藤岡　裕大
2018,ロッテ,安田　尚憲
2018,ロッテ,鈴木　大地
2018,ロッテ,中村　奨吾
2018,ロッテ,福浦　和也
2018,ロッテ,加藤　翔平
2018,ロッテ,佐々木　千隼
2018,ロッテ,石川　歩
2018,ロッテ,平沢　大河
2018,ロッテ,大谷　智久
2018,ロッテ,関谷　亮太
2018,ロッテ,涌井　秀章
2018,ロッテ,唐川　侑己
2018,ロッテ,東條　大樹
2018,ロッテ,内　竜也
2018,ロッテ,田村　龍弘
2018,ロッテ,酒居　知史
2018,ロッテ,吉田　裕太
2018,ロッテ,金澤　岳
2018,ロッテ,山本　大貴
2018,ロッテ,松永　昂大
2018,ロッテ,西野　勇士
2018,ロッテ,大嶺　祐太
2018,ロッテ,菅野　剛士
2018,ロッテ,髙濱　卓也
2018,ロッテ,南　昌輝
2018,ロッテ,土肥　星也
2018,ロッテ,渡邉　啓太
2018,ロッテ,有吉　優樹
2018,ロッテ,三木　亮
2018,ロッテ,伊志嶺　翔大
2018,ロッテ,岡　大海
2018,ロッテ,島　孝明
2018,ロッテ,成田　翔
2018,ロッテ,ドミンゲス
2018,ロッテ,井上　晴哉
2018,ロッテ,宗接　唯人
2018,ロッテ,岩下　大輝
2018,ロッテ,田中　靖洋
2018,ロッテ,宮﨑　敦次
2018,ロッテ,チェン・グァンユウ
2018,ロッテ,大嶺　翔太
2018,ロッテ,オルモス
2018,ロッテ,益田　直也
2018,ロッテ,江村　直也
2018,ロッテ,大隣　憲司
2018,ロッテ,原　嵩
2018,ロッテ,香月　一也
2018,ロッテ,高野　圭佑
2018,ロッテ,細谷　圭
2018,ロッテ,阿部　和成
2018,ロッテ,三家　和真
2018,ロッテ,永野　将司
2018,ロッテ,種市　篤暉
2018,ロッテ,二木　康太
2018,ロッテ,ペゲーロ
2018,ロッテ,岡田　幸文
2018,ロッテ,李　杜軒
2018,ロッテ,大木　貴将
2018,ロッテ,肘井　竜蔵
2018,ロッテ,ボルシンガー
2018,ロッテ,シェッパーズ
2018,ロッテ,柿沼　友哉
2018,ロッテ,安江　嘉純
2018,ロッテ,和田　康士朗
2018,ロッテ,森　遼大朗
2018,中日,髙松　渡
2018,中日,友永　翔太
2018,中日,荒木　雅博
2018,中日,高橋　周平
2018,中日,藤井　淳志
2018,中日,阿部　寿樹
2018,中日,平田　良介
2018,中日,大島　洋平
2018,中日,石川　駿
2018,中日,小笠原　慎之介
2018,中日,田島　慎二
2018,中日,岩瀬　仁紀
2018,中日,谷元　圭介
2018,中日,又吉　克樹
2018,中日,柳　裕也
2018,中日,鈴木　翔太
2018,中日,吉見　一起
2018,中日,岡田　俊哉
2018,中日,大野　雄大
2018,中日,遠藤　一星
2018,中日,福谷　浩司
2018,中日,佐藤　優
2018,中日,井領　雅貴
2018,中日,大野　奨太
2018,中日,丸山　泰資
2018,中日,山井　大介
2018,中日,阿知羅　拓馬
2018,中日,野本　圭
2018,中日,石垣　雅海
2018,中日,祖父江　大輔
2018,中日,福　敬登
2018,中日,木下　拓哉
2018,中日,石岡　諒太
2018,中日,三ツ俣　大樹
2018,中日,松井　雅人
2018,中日,武山　真吾
2018,中日,石川　翔
2018,中日,浅尾　拓也
2018,中日,アルモンテ
2018,中日,三ツ間　卓也
2018,中日,杉山　翔大
2018,中日,鈴木　博志
2018,中日,笠原　祥太郎
2018,中日,溝脇　隼人
2018,中日,伊藤　康祐
2018,中日,清水　達也
2018,中日,京田　陽太
2018,中日,加藤　匠馬
2018,中日,亀澤　恭平
2018,中日,藤嶋　健人
2018,中日,福田　永将
2018,中日,松井　佑介
2018,中日,ロドリゲス
2018,中日,谷　哲也
2018,中日,山本　拓実
2018,中日,ジー
2018,中日,若松　駿太
2018,中日,工藤　隆人
2018,中日,堂上　直倫
2018,中日,小熊　凌祐
2018,中日,伊藤　準規
2018,中日,ビシエド
2018,中日,近藤　弘基
2018,中日,桂　依央利
2018,中日,ガルシア
2018,中日,木下　雄介
2018,中日,松坂　大輔
2018,中日,浜田　智博
2018,中日,濱田　達郎
2018,中日,山本　雅士
2018,中日,吉田　嵩
2018,中日,大藏　彰人
2018,中日,西濵　幹紘
2018,中日,石田　健人マルク
2018,中日,Ａ．マルティネス
2018,中日,Ｒ．マルティネス
2018,中日,渡辺　勝
2018,巨人,吉川　尚輝
2018,巨人,寺内　崇幸
2018,巨人,比嘉　賢伸
2018,巨人,陽　岱鋼
2018,巨人,加藤　脩平
2018,巨人,山川　和大
2018,巨人,笠井　駿
2018,巨人,ゲレーロ
2018,巨人,広畑　塁
2018,巨人,坂本　工宜
2018,巨人,坂本　勇人
2018,巨人,長野　久義
2018,巨人,小山　翔平
2018,巨人,折下　光輝
2018,巨人,亀井　善行
2018,巨人,阿部　慎之助
2018,巨人,高山　竜太朗
2018,巨人,上原　浩治
2018,巨人,髙井　俊
2018,巨人,成瀬　功亮
2018,巨人,脇谷　亮太
2018,巨人,堀岡　隼人
2018,巨人,森福　允彦
2018,巨人,松澤　裕介
2018,巨人,巽　大介
2018,巨人,澤村　拓一
2018,巨人,山上　信吾
2018,巨人,大竹　寛
2018,巨人,田島　洸成
2018,巨人,杉内　俊哉
2018,巨人,菅野　智之
2018,巨人,田中　優大
2018,巨人,橋本　篤郎
2018,巨人,マシソン
2018,巨人,吉川　光夫
2018,巨人,小林　誠司
2018,巨人,荒井　颯太
2018,巨人,野上　亮磨
2018,巨人,田中　大輝
2018,巨人,岡本　和真
2018,巨人,内海　哲也
2018,巨人,宇佐見　真吾
2018,巨人,畠　世周
2018,巨人,鍬原　拓也
2018,巨人,宮國　椋丞
2018,巨人,橋本　到
2018,巨人,マギー
2018,巨人,西村　健太朗
2018,巨人,桜井　俊貴
2018,巨人,田原　誠次
2018,巨人,岸田　行倫
2018,巨人,ヤングマン
2018,巨人,谷岡　竜平
2018,巨人,中川　皓太
2018,巨人,山口　俊
2018,巨人,重信　慎之介
2018,巨人,カミネロ
2018,巨人,今村　信貴
2018,巨人,大城　卓三
2018,巨人,山口　鉄也
2018,巨人,池田　駿
2018,巨人,石川　慎吾
2018,巨人,戸根　千明
2018,巨人,北村　拓己
2018,巨人,髙田　萌生
2018,巨人,山本　泰寛
2018,巨人,高木　京介
2018,巨人,立岡　宗一郎
2018,巨人,松原　聖弥
2018,巨人,柿澤　貴裕
2018,巨人,若林　晃弘
2018,巨人,中井　大介
2018,巨人,篠原　慎平
2018,巨人,田中　俊太
2018,巨人,大江　竜聖
2018,巨人,辻　東倫
2018,巨人,村上　海斗
2018,巨人,和田　恋
2018,巨人,吉川　大幾
2018,巨人,田中　貴也
2018,巨人,田口　麗斗
2018,巨人,與那原　大剛
2018,巨人,アダメス
2018,巨人,湯浅　大
2018,巨人,河野　元貴
2018,巨人,メルセデス
2018,巨人,マルティネス
2018,巨人,廖任磊
2018,巨人,増田　大輝
2018,巨人,青山　誠
2018,広島,上本　崇司
2018,広島,田中　広輔
2018,広島,小窪　哲也
2018,広島,安部　友裕
2018,広島,堂林　翔太
