player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year,wOBA,wRC+,wRAA
會沢 翼,93,290,252,23,62,7,3,6,93,30,0,1,2,3,26,3,7,49,9,0.246,0.369,0.33,広島,2015,0.3265204550838741,107.1184818225783,2.052657513752035
赤松 真人,52,9,9,13,2,1,0,0,3,0,6,3,0,0,0,0,0,2,0,0.222,0.333,0.222,広島,2015,0.2501348102635623,33.75119655706483,-0.5928593357801101
安部 友裕,26,74,70,6,17,0,0,0,17,2,1,2,3,0,1,0,0,6,1,0.243,0.243,0.254,広島,2015,0.23079913544462993,15.179566068392237,-6.2411313774471
天谷 宗一郎,30,34,28,1,6,0,0,0,6,2,3,4,0,0,6,0,0,7,1,0.214,0.214,0.353,広島,2015,0.2901016308364544,72.13873826106895,-0.9419130462804144
新井 貴浩,125,480,426,52,117,22,2,7,164,57,3,0,0,4,48,1,2,73,15,0.275,0.385,0.348,広島,2015,0.34056145271814553,120.6046529646731,9.834168758394142
石原 慶幸,83,238,216,15,52,6,0,2,64,12,1,0,8,0,14,2,0,42,10,0.241,0.296,0.287,広島,2015,0.27406074863659874,56.73170748930851,-10.239478280484645
今井 啓介,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015,0.0,-206.49959955275526,-0.6095242968400244
今村 猛,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,広島,2015,,,
岩本 貴裕,7,10,10,1,3,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0.3,0.4,0.3,広島,2015,0.3172640128319696,98.2278055595608,-0.017621484200121648
エルドレッド,79,300,264,32,60,6,0,19,123,54,1,2,0,4,31,0,1,91,3,0.227,0.466,0.307,広島,2015,0.35052612550841256,130.17557421435032,9.001355473996338
大瀬良 大地,51,23,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0.0,0.0,0.043,広島,2015,0.031412278498214805,-176.32856934361504,-6.31952941366028
菊池 涼介,143,644,562,62,143,20,3,8,193,32,19,9,49,2,29,2,2,92,7,0.254,0.343,0.292,広島,2015,0.2940083679942156,75.89110168203767,-15.4381177001349
木村 昇吾,72,109,93,14,25,4,2,0,33,8,2,0,8,3,5,0,0,22,1,0.269,0.355,0.297,広島,2015,0.29535835459212534,77.1877438988633,-2.472440514414996
グスマン,34,116,100,10,23,8,1,3,42,12,0,0,0,0,15,0,1,25,2,0.23,0.42,0.336,広島,2015,0.3504996477257704,130.15014269463384,3.4775907832785875
九里 亜蓮,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,広島,2015,0.0,-206.49959955275526,-0.6095242968400244
黒田 博樹,26,56,47,1,3,1,0,0,4,1,0,0,6,0,3,0,0,25,0,0.064,0.085,0.12,広島,2015,0.10680174689393032,-103.9180968416786,-11.354680311520685
小窪 哲也,69,88,71,2,21,2,0,1,26,15,1,0,2,0,15,0,0,18,2,0.296,0.366,0.419,広島,2015,0.3753645527519235,154.0325172487147,4.727907683224975
シアーホルツ,65,248,232,27,58,11,1,10,101,30,3,2,0,0,14,0,2,67,0,0.25,0.435,0.298,広島,2015,0.33510652478539105,115.3652751380321,3.788987191836979
ジョンソン,28,64,60,5,9,1,0,0,10,1,0,0,2,0,2,0,0,29,0,0.15,0.167,0.177,広島,2015,0.1636478379826352,-49.31826475352484,-9.50219685371949
下水流 昂,5,10,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0.2,0.2,0.2,広島,2015,0.18428536718952687,-29.496222325799398,-1.287621484200122
鈴木 誠也,97,238,211,21,58,6,3,5,85,25,6,7,7,2,16,0,2,38,3,0.275,0.403,0.329,広島,2015,0.336242831024181,116.45668052141794,3.8944874639158846
梵 英心,96,332,283,24,67,15,1,6,102,27,2,2,10,2,36,0,1,49,6,0.237,0.36,0.323,広島,2015,0.3200735582380211,100.92633248509881,0.3057990226926021
田中 広輔,141,590,543,61,149,33,9,8,224,45,6,7,5,1,34,2,7,105,8,0.274,0.413,0.325,広島,2015,0.3381249875269378,118.26446408306668,10.71494781680817
堂林 翔太,33,73,69,5,18,2,0,0,20,3,1,0,1,0,3,0,0,16,1,0.261,0.29,0.292,広島,2015,0.2718034653387198,54.563620173555094,-3.298053501327557
戸田 隆矢,34,12,11,1,1,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0.091,0.091,0.091,広島,2015,0.08376607599523948,-126.04351899504805,-2.6971457810401462
中東 直己,9,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015,0.0,-206.49959955275526,-1.2190485936800488
中村 恭平,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015,0.0,-206.49959955275526,-0.3047621484200122
野間 峻祥,127,188,170,21,41,7,6,1,63,10,8,2,6,1,10,0,1,37,2,0.241,0.371,0.286,広島,2015,0.2996823419362655,81.3408699699761,-3.4880311557095407
野村 祐輔,15,27,22,0,0,0,0,0,0,0,0,0,4,0,1,0,0,12,0,0.0,0.0,0.043,広島,2015,0.031412278498214805,-176.32856934361504,-7.4185780073403285
福井 優也,21,41,36,0,1,0,0,0,1,1,0,0,4,0,1,0,0,22,2,0.028,0.028,0.054,広島,2015,0.04442997949747499,-163.8252595272146,-10.75551835549077
前田 健太,29,73,62,4,12,2,0,1,17,5,0,0,9,0,2,0,0,25,1,0.194,0.274,0.219,広島,2015,0.22806623034641377,12.55465102818976,-6.34732433466089
松山 竜平,100,229,202,14,56,13,0,7,90,26,1,1,0,3,23,0,1,30,8,0.277,0.446,0.349,広島,2015,0.36341308515838616,142.55330889301814,9.689468011817208
丸 佳浩,143,633,530,81,132,28,1,19,219,63,15,7,4,4,94,2,1,143,4,0.249,0.413,0.361,広島,2015,0.3605337189795105,139.78772014494396,25.042857347429564
美間 優槻,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015,0.0,-206.49959955275526,-0.9142864452600366
薮田 和樹,6,8,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0.0,0.0,0.0,広島,2015,0.0,-206.49959955275526,-2.4380971873600976
ロサリオ,42,136,124,9,32,5,0,2,43,12,1,1,0,0,11,0,1,23,1,0.258,0.347,0.324,広島,2015,0.3145847302541806,95.65439415936936,-0.5876521851216646
赤坂 和幸,35,49,43,2,14,2,0,0,16,8,2,0,0,0,6,0,0,8,0,0.326,0.372,0.408,中日,2015,0.36839978320355327,147.34295881838563,2.306654727419403
赤田 龍一郎,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-0.3047621484200122
荒木 雅博,97,238,211,23,53,10,0,0,63,13,9,1,6,1,20,0,0,31,1,0.251,0.299,0.315,中日,2015,0.29038304577229035,72.40903315645173,-6.52942580672152
